County,State,Date,Year,Month,Period Begin,Period End,Homes Sold,Homes Sold with Price Drop,Homes Sold with Price Drop (%),Median Sale Price,Median Sales Price per Sqft,Price Drops,Listings with Price Drop (%),New Listings,Median New List Price,Median New Listing Price per Sqft,Inventory,Active Listings,Age of Inventory,Median List Price,Median List Price per Sqft,Average Offer to List,Average Sale to List Ratio,Median Days on Market,Months of Supply,Price Drops of Inventory (%),Homes Sold Above List (%)
Mecklenburg County, NC,2018-07-01,2018,July,2018-07-02 00:00:00,2018-07-08,311,75,24.12%,252000.0,133.61,191,3.47%,387,259900.0,$130.41,5108,5498,46.5,"$329,000.00",$144.78,0.99,0.99,46.0,17.68,3.74%,26.37%
Mecklenburg County, NC,2018-07-01,2018,July,2018-07-09 00:00:00,2018-07-15,473,109,23.04%,253000.0,130.03,300,5.29%,574,259900.0,$136.08,5152,5672,45.0,"$325,000.00",$144.59,0.98,0.99,47.0,11.99,5.82%,29.81%
Mecklenburg County, NC,2018-07-01,2018,July,2018-07-16 00:00:00,2018-07-22,464,105,22.63%,251000.0,130.56,294,5.16%,552,261000.0,$130.75,5199,5698,45.0,"$325,000.00",$144.23,0.97,0.99,44.0,12.28,5.65%,28.02%
Mecklenburg County, NC,2018-07-01,2018,July,2018-07-23 00:00:00,2018-07-29,426,113,26.53%,245000.0,130.20,297,5.27%,441,269000.0,$133.33,5186,5631,46.0,"$324,900.00",$143.84,0.98,0.99,47.0,13.22,5.73%,25.35%
Mecklenburg County, NC,2018-07-01,2018,July,2018-07-30 00:00:00,2018-08-05,512,143,27.93%,243995.0,130.84,295,5.19%,508,245000.0,$130.58,5151,5687,47.0,"$321,900.00",$143.59,0.98,0.99,46.0,11.11,5.73%,29.69%
Mecklenburg County, NC,2018-08-01,2018,August,2018-08-06 00:00:00,2018-08-12,365,89,24.38%,252400.0,130.00,256,4.53%,501,247000.0,$132.05,5250,5645,47.0,"$320,000.00",$143.18,0.97,0.99,46.0,15.47,4.88%,25.48%
Mecklenburg County, NC,2018-08-01,2018,August,2018-08-13 00:00:00,2018-08-19,398,109,27.39%,265500.0,131.59,312,5.48%,452,264900.0,$130.68,5242,5692,48.0,"$320,000.00",$143.02,0.97,0.99,47.5,14.30,5.95%,28.14%
Mecklenburg County, NC,2018-08-01,2018,August,2018-08-20 00:00:00,2018-08-26,441,129,29.25%,252210.0,129.20,264,4.68%,407,279900.0,$140.46,5178,5642,48.0,"$321,900.00",$143.75,0.98,0.99,45.0,12.79,5.10%,24.26%
Mecklenburg County, NC,2018-08-01,2018,August,2018-08-27 00:00:00,2018-09-02,500,146,29.20%,269200.0,131.98,262,4.67%,438,250000.0,$135.73,5108,5607,50.0,"$319,920.00",$144.25,0.96,0.98,48.0,11.21,5.13%,25.40%
Mecklenburg County, NC,2018-09-01,2018,September,2018-09-10 00:00:00,2018-09-16,311,97,31.19%,254000.0,131.27,172,3.14%,319,259900.0,$134.82,5100,5471,53.0,"$324,749.50",$144.91,0.99,0.99,52.0,17.59,3.37%,26.05%
