month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202103,28209,"charlotte, nc",,727000,0.1361,0.0544,57,-0.1739,-0.2597,42.5,-0.212962963,0.25,40,-0.1667,-0.2308,0,,-1,20,-0.1667,-0.2857,78,0.2787,0.2581,294.7234731,0.0064,0.0292,2414.5,0.1168,-0.001,845200.6798,0.1062,0.0135,135,0.0385,-0.0288,1.368421053,0.4844,0.5632
202103,28207,"charlotte, nc",*,1299000,0.0518,-0.1717,54,-0.0182,-0.0526,131,-0.057553957,,20,0,0,0,,,12,0,0.5,39,-0.1136,0.3929,399.3709964,0.1107,0.0289,2679.5,0.0318,-0.2936,1409480.196,0.0618,-0.1233,93,-0.0606,0.0941,0.722222222,-0.0778,0.231
202103,28215,"charlotte, nc",*,353052.5,0.207,,29,-0.4821,,28.5,0.461538462,,40,-0.4737,-0.1667,4,-0.8333,-0.5,8,1,-0.5,249,0.7172,1.1842,178.8427065,0.0125,0.324,1804,0.0812,-0.0706,342212.4802,0.0896,0.1736,278,0.3831,0.4787,8.586206897,5.9969,7.0457
202103,28216,"charlotte, nc",*,266250,0.0484,0.0758,23,-0.2333,,21.5,0.162162162,-0.410958904,32,0,-0.4667,0,,-1,8,0,-0.5,71,0.0143,0.1452,182.66255,0.072,0.2878,1546.5,-0.0261,-0.1265,363421.3043,0.0187,0.147,94,-0.06,-0.2231,3.086956522,0.7536,2.0361
202103,28273,"charlotte, nc",,310000,-0.0575,0.0877,14,-0.125,-0.5625,14,0.75,-0.243243243,20,-0.5455,-0.5,0,,-1,0,,-1,24,-0.2,-0.3514,173.7621667,0.0887,0.2177,1768,-0.1267,-0.0692,297963.3333,-0.0593,0.007,38,-0.1739,-0.4493,1.714285714,-0.1607,0.558
202102,28277,"charlotte, nc",*,485202.5,0.1003,0.1284,45,-0.0625,-0.5631,18,-0.666666667,,56,0.5556,-0.3333,4,-0.8333,0,4,-0.8,-0.8889,67,-0.0946,-0.3163,184.2912666,0.0109,0.1011,2908.5,0.1709,0.1473,649247.4282,0.1613,0.1755,112,-0.082,-0.4428,1.488888889,-0.0528,0.5374
202102,28273,"charlotte, nc",,328915,0.0136,0.1541,16,-0.1579,-0.4667,8,-0.724137931,-0.578947368,44,0.8333,0.2222,0,-1,,0,-1,-1,30,0.2,-0.2683,159.6048347,0.0472,0.1025,2024.5,0.0148,0.0803,316750.25,0.0469,0.0582,46,0.0455,-0.3521,1.875,0.5592,0.5083
202102,28202,"charlotte, nc",*,432500,-0.0148,,85,0.0366,,65,0.160714286,,36,0.5,1.25,0,-1,,12,0,-0.4,38,0.3571,-0.0256,349.7094899,-0.0143,0.0663,1241.5,0.0012,0.0657,587036.0252,-0.0027,0.0841,123,0.1182,0.2947,0.447058824,0.1056,-0.2494
202102,28227,"charlotte, nc",,350900,0.0145,-0.0887,41,0,-0.5176,29.5,0.282608696,-0.344444444,32,-0.2727,-0.3846,8,-0.6667,1,8,1,-0.6,38,0,-0.3333,186.5671642,0.0297,0.3555,1875,-0.0178,-0.1963,392640.0977,0.005,0.0965,79,0,-0.4437,0.926829268,0,0.2562
202102,28214,"charlotte, nc",,315000,-0.0289,0.1776,28,0.0769,-0.6627,32.5,0.120689655,-0.044117647,32,0.1429,-0.2727,4,-0.8,-0.9,12,,-0.4,42,-0.16,-0.5842,149.7250734,0.0013,0.1547,2188,-0.0458,0.136,344547.7057,-0.0963,0.0883,70,-0.0789,-0.6196,1.5,-0.4231,0.2831
